City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,Arraial Do Cabo,-22.97,-42.03,69.8,100,84,3.36,BR,2020-05-06 00:25:38
185,Champerico,14.3,-91.92,75.2,100,90,6.93,GT,2020-05-06 00:25:38
186,Kirakira,-10.45,161.92,85.33,64,45,3.04,SB,2020-05-06 00:25:38
187,Atuona,-9.8,-139.03,81.75,70,30,16.31,PF,2020-05-06 00:25:38
188,Sovetskiy,61.36,63.58,49.39,94,70,6.06,RU,2020-05-06 00:25:38
189,Komsomolskiy,40.43,71.72,59.0,72,100,6.93,UZ,2020-05-06 00:25:38
190,Port Elizabeth,-33.92,25.57,64.4,77,40,13.87,ZA,2020-05-06 00:20:49
191,Bambous Virieux,-20.34,57.76,73.99,94,75,11.56,MU,2020-05-06 00:21:14
192,Castro,-24.79,-50.01,59.86,76,100,4.99,BR,2020-05-06 00:20:56
193,Kodiak,57.79,-152.41,44.6,70,90,20.8,US,2020-05-06 00:25:39
194,Marivan,35.52,46.18,55.74,62,23,8.43,IR,2020-05-06 00:25:40
195,Finnsnes,69.23,17.98,35.6,93,100,27.51,NO,2020-05-06 00:25:40
196,Piedras Negras,28.7,-100.52,87.8,35,40,6.93,MX,2020-05-06 00:25:14
197,Konya,38.17,32.5,48.2,81,20,12.75,TR,2020-05-06 00:25:40
198,Murdochville,48.96,-65.5,30.61,98,100,7.61,CA,2020-05-06 00:25:40
199,Port Hardy,50.7,-127.42,57.2,54,75,16.11,CA,2020-05-06 00:22:14
200,Ancud,-41.87,-73.82,46.99,100,20,3.36,CL,2020-05-06 00:21:05
201,Namibe,-15.2,12.15,77.47,69,1,0.96,AO,2020-05-06 00:25:41
202,Ribeira Grande,38.52,-28.7,60.89,86,89,11.21,PT,2020-05-06 00:25:41
203,Hamilton,39.18,-84.53,50.0,70,90,8.05,US,2020-05-06 00:25:25
204,Ambilobe,-13.2,49.05,72.14,90,86,2.62,MG,2020-05-06 00:25:41
